date,mean_percent,median_percent,max_amount,count
2018-04-04,18.79743450883352,19.99494438827098,100.0,84534
2018-04-05,18.760708346216276,19.99474513925381,156.7,88079
2018-04-06,18.62735508366509,19.994212962962962,100.9,87016
2018-04-07,18.533782917579835,19.996584699453553,190.7,98381
2018-04-08,18.57777042247449,19.99474513925381,210.0,108970
2018-04-09,18.740131432345255,19.994813278008298,200.0,93547
2018-04-10,18.756098222861866,19.994813278008298,128.0,87864
2018-04-11,18.736951707630013,19.994879672299028,120.0,88509
2018-04-12,18.73519612509666,19.99500748876685,82.8,83022
2018-04-13,18.55568353353739,19.993662864385296,100.0,82350
2018-04-14,18.436817647692834,19.99395039322444,111.66,99395
2018-04-15,18.634112242819224,19.994879672299028,410.0,109021
2018-04-16,18.774004683708277,19.994879672299028,124.0,90699
2018-04-17,18.732321485060808,19.99500748876685,100.0,90758
2018-04-18,18.728570277733866,19.99474513925381,85.0,78260
2018-04-19,18.667176422846175,19.994603345925523,60.0,85848
2018-04-20,18.555752167963046,19.99385749385749,100.0,84771
2018-04-21,18.453863486669494,19.994603345925523,120.0,91147
2018-04-22,18.49579325831687,19.994295493439814,80.0,104164
2018-04-23,18.658857801753417,19.99445368829728,72.0,89857
2018-04-24,18.677496917247037,19.994529540481402,143.0,85289
2018-04-25,18.779471286344513,19.99506903353057,100.0,84046
2018-04-26,18.642550432133188,19.994603345925523,144.0,78734
2018-04-27,18.458247632688714,19.993662864385296,60.0,80714
2018-04-28,18.435179558105315,19.99395039322444,100.0,91939
2018-04-29,18.45089588746377,19.99395039322444,94.32,105175
2018-04-30,18.671512652686804,19.99474513925381,130.0,87490
2018-05-01,18.62097924106361,19.994529540481402,100.0,86828
2018-05-02,18.64799120945224,19.99445368829728,120.0,88477
2018-05-03,18.60463964282724,19.994529540481402,84.74,80812
2018-05-04,18.454490788196484,19.993560849967803,88.8,83800
2018-05-05,18.38763533165409,19.993662864385296,100.0,94983
2018-05-06,18.41006562135804,19.994128009395187,322.0,115591
2018-05-07,18.628663281935882,19.994603345925523,100.0,85642
2018-05-08,18.678207156163648,19.994879672299028,85.0,82074
2018-05-09,18.704369860853088,19.99474513925381,227.77,81455
2018-05-10,18.59996278080302,19.994529540481402,60.89,76430
2018-05-11,18.433114530144632,19.992609016999264,102.0,81291
2018-05-12,18.343695994968563,19.993346640053225,100.31,95656
